sequenceId;sequence;run;from;to;time
S1;home-list-analytics-about;1;home;list;49.7
S1;home-list-analytics-about;1;list;analytics;1049.4
S1;home-list-analytics-about;1;analytics;about;36.4
S1;home-list-analytics-about;2;home;list;40.3
S1;home-list-analytics-about;2;list;analytics;776.8
S1;home-list-analytics-about;2;analytics;about;42.2
S2;home-list-detail-analytics-about;1;home;list;45.5
S2;home-list-detail-analytics-about;1;list;detail;21.1
S2;home-list-detail-analytics-about;1;detail;analytics;836.7
S2;home-list-detail-analytics-about;1;analytics;about;40.8
S2;home-list-detail-analytics-about;2;home;list;47.8
S2;home-list-detail-analytics-about;2;list;detail;7.2
S2;home-list-detail-analytics-about;2;detail;analytics;846.8
S2;home-list-detail-analytics-about;2;analytics;about;39.8
S3;home-list-about-analytics;1;home;list;48.1
S3;home-list-about-analytics;1;list;about;19.7
S3;home-list-about-analytics;1;about;analytics;792.6
S3;home-list-about-analytics;2;home;list;42.3
S3;home-list-about-analytics;2;list;about;21.5
S3;home-list-about-analytics;2;about;analytics;795.2
S4;home-list-detail-about-analytics;1;home;list;39.9
S4;home-list-detail-about-analytics;1;list;detail;7.8
S4;home-list-detail-about-analytics;1;detail;about;1003.2
S4;home-list-detail-about-analytics;1;about;analytics;3035.7
S4;home-list-detail-about-analytics;2;home;list;46.1
S4;home-list-detail-about-analytics;2;list;detail;7.3
S4;home-list-detail-about-analytics;2;detail;about;23.4
S4;home-list-detail-about-analytics;2;about;analytics;821.1
S5;home-analytics-list-about;1;home;analytics;821.3
S5;home-analytics-list-about;1;analytics;list;66.9
S5;home-analytics-list-about;1;list;about;24.1
S5;home-analytics-list-about;2;home;analytics;844.3
S5;home-analytics-list-about;2;analytics;list;71.6
S5;home-analytics-list-about;2;list;about;22.7
S6;home-analytics-list-detail-about;1;home;analytics;808.9
S6;home-analytics-list-detail-about;1;analytics;list;65.6
S6;home-analytics-list-detail-about;1;list;detail;7.4
S6;home-analytics-list-detail-about;1;detail;about;18.3
S6;home-analytics-list-detail-about;2;home;analytics;827.6
S6;home-analytics-list-detail-about;2;analytics;list;36.9
S6;home-analytics-list-detail-about;2;list;detail;6.5
S6;home-analytics-list-detail-about;2;detail;about;25
S7;home-analytics-about-list;1;home;analytics;909.2
S7;home-analytics-about-list;1;analytics;about;39
S7;home-analytics-about-list;1;about;list;46.5
S7;home-analytics-about-list;2;home;analytics;792.9
S7;home-analytics-about-list;2;analytics;about;45.5
S7;home-analytics-about-list;2;about;list;27.9
S8;home-analytics-about-list-detail;1;home;analytics;816.8
S8;home-analytics-about-list-detail;1;analytics;about;46.6
S8;home-analytics-about-list-detail;1;about;list;40
S8;home-analytics-about-list-detail;1;list;detail;6.1
S8;home-analytics-about-list-detail;2;home;analytics;878.3
S8;home-analytics-about-list-detail;2;analytics;about;37.9
S8;home-analytics-about-list-detail;2;about;list;43.4
S8;home-analytics-about-list-detail;2;list;detail;7.2
S9;home-about-list-analytics;1;home;about;24.9
S9;home-about-list-analytics;1;about;list;49.2
S9;home-about-list-analytics;1;list;analytics;797.4
S9;home-about-list-analytics;2;home;about;23.5
S9;home-about-list-analytics;2;about;list;59.6
S9;home-about-list-analytics;2;list;analytics;799.6
S10;home-about-list-detail-analytics;1;home;about;22.8
S10;home-about-list-detail-analytics;1;about;list;47
S10;home-about-list-detail-analytics;1;list;detail;6.7
S10;home-about-list-detail-analytics;1;detail;analytics;466.3
S10;home-about-list-detail-analytics;2;home;about;31
S10;home-about-list-detail-analytics;2;about;list;45.5
S10;home-about-list-detail-analytics;2;list;detail;6.3
S10;home-about-list-detail-analytics;2;detail;analytics;778.6
S11;home-about-analytics-list;1;home;about;22.9
S11;home-about-analytics-list;1;about;analytics;814.6
S11;home-about-analytics-list;1;analytics;list;65.5
S11;home-about-analytics-list;2;home;about;25.4
S11;home-about-analytics-list;2;about;analytics;823.9
S11;home-about-analytics-list;2;analytics;list;65.6
S12;home-about-analytics-list-detail;1;home;about;30.1
S12;home-about-analytics-list-detail;1;about;analytics;785.7
S12;home-about-analytics-list-detail;1;analytics;list;66.2
S12;home-about-analytics-list-detail;1;list;detail;14
S12;home-about-analytics-list-detail;2;home;about;34.8
S12;home-about-analytics-list-detail;2;about;analytics;825
S12;home-about-analytics-list-detail;2;analytics;list;38.7
S12;home-about-analytics-list-detail;2;list;detail;9.1

SUMMARY
route;mean;ci;n
home->list;44.96;3.1;8
home->analytics;837.41;32.3;8
home->about;26.93;3.74;8
list->analytics;855.8;206.02;4
list->detail;8.89;2.79;12
list->about;22;2.97;4
analytics->about;41.02;2.99;8
analytics->list;59.63;11.39;8
about->analytics;1086.72;658.5;8
about->list;44.89;7.46;8
detail->analytics;732.1;285.99;4
detail->about;267.48;780.48;4
